epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1183,4.41007,3.95272,1.20838,0.0696,0.02396,0.03611,0.00973,3.98086,4.8623,1.05354,0.00065873,0.00065873,0.00065873
2,34.1556,3.49496,2.09456,0.91304,0.17272,0.6364,0.29112,0.06729,3.15041,2.46361,0.90608,0.00129915,0.00129915,0.00129915
3,48.7965,3.4446,2.29783,0.88325,0.12655,0.1031,0.07892,0.01814,3.56215,4.07504,0.95171,0.00191318,0.00191318,0.00191318
4,63.2801,3.01057,2.60411,0.85326,0.1554,0.86085,0.67796,0.20772,2.57405,2.02988,0.83884,0.0018812,0.0018812,0.0018812
5,77.9559,3.02914,1.66329,0.90313,0.8902,0.43108,0.69379,0.20833,2.48869,1.82834,0.8359,0.0018416,0.0018416,0.0018416
6,92.4603,3.04245,1.73709,0.88843,0.73197,0.65795,0.67205,0.20364,2.72941,1.27699,0.86075,0.001802,0.001802,0.001802
7,107.205,2.78855,1.53015,0.87103,0.80001,0.46783,0.62742,0.15534,2.92533,1.75365,0.85291,0.0017624,0.0017624,0.0017624
8,122.391,2.81036,1.51634,0.82263,0.79241,0.64937,0.70558,0.20293,2.67216,1.84548,0.84142,0.0017228,0.0017228,0.0017228
9,137.958,2.90229,1.42022,0.85072,0.8676,0.54453,0.7534,0.20763,2.66335,1.47507,0.84476,0.0016832,0.0016832,0.0016832
10,154.264,2.76807,1.32604,0.84149,0.82064,0.53609,0.67264,0.20871,2.58227,1.52137,0.83654,0.0016436,0.0016436,0.0016436
11,171.088,2.78473,1.2538,0.84468,0.86038,0.53237,0.72556,0.20879,2.67758,1.45776,0.83678,0.001604,0.001604,0.001604
12,390.661,2.68654,1.16401,0.83637,0.89226,0.75907,0.8742,0.32179,2.22639,1.09046,0.82529,0.0015644,0.0015644,0.0015644
13,425.88,2.4464,1.02554,0.84168,0.87455,0.80919,0.88691,0.32686,2.22264,0.97621,0.82592,0.0015248,0.0015248,0.0015248
14,440.391,2.39149,1.11256,0.81665,0.70714,0.74522,0.72815,0.23274,2.58187,1.61504,0.82947,0.0014852,0.0014852,0.0014852
15,457.671,2.46017,1.13618,0.82778,0.81027,0.74236,0.79504,0.28186,2.33245,1.49013,0.82007,0.0014456,0.0014456,0.0014456
16,509.529,2.40239,1.00307,0.82169,0.82736,0.80806,0.84227,0.31986,2.15426,1.11525,0.81478,0.001406,0.001406,0.001406
17,527.409,2.33528,0.97813,0.83525,0.87241,0.88831,0.9093,0.36751,2.06468,0.76967,0.81784,0.0013664,0.0013664,0.0013664
18,541.404,2.27988,0.98545,0.80561,0.83706,0.8248,0.84727,0.30125,2.31137,0.80606,0.82346,0.0013268,0.0013268,0.0013268
19,555.34,2.30207,0.92056,0.80673,0.8046,0.76125,0.79373,0.27484,2.43101,0.99151,0.82999,0.0012872,0.0012872,0.0012872
