epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.87103,4.57026,4.57577,1.31215,0,0,0,0,5.84402,5.99949,1.64169,0.000653333,0.000653333,0.000653333
2,11.9733,4.01544,3.65382,1.1069,0.11182,0.24658,0.07271,0.0175,3.19045,2.61638,0.93277,0.00129386,0.00129386,0.00129386
3,17.35,3.29314,4.7548,0.89652,0.17139,0.28044,0.11347,0.02702,3.00474,2.36811,0.91724,0.00190799,0.00190799,0.00190799
4,23.6056,3.76868,3.46789,0.97307,0.006,0.03425,0.00311,0.0007,3.78381,3.6133,1.04593,0.0018812,0.0018812,0.0018812
5,28.9283,5.2053,3.82631,1.02665,0.006,0.03425,0.00311,0.0007,3.78381,3.6133,1.04593,0.0018416,0.0018416,0.0018416
6,34.923,5.67308,3.70843,1.09379,0.00033,0.0019,0.0002,5e-05,5.81438,3.15415,1.09391,0.001802,0.001802,0.001802
7,40.7535,4.60999,3.42762,0.98939,0.01022,0.04947,0.00567,0.00083,4.76431,3.15332,0.98953,0.0017624,0.0017624,0.0017624
8,46.8329,3.78807,3.14755,0.95619,0.26714,0.62557,0.42184,0.12861,2.69215,3.25069,0.86437,0.0017228,0.0017228,0.0017228
9,52.8286,3.33431,2.8259,0.92477,0.26714,0.62557,0.42184,0.12861,2.69215,3.25069,0.86437,0.0016832,0.0016832,0.0016832
10,58.8619,3.33141,2.27382,0.89567,0.12487,0.71271,0.46141,0.09584,3.04343,2.50381,0.88485,0.0016436,0.0016436,0.0016436
11,65.0524,3.30712,2.00924,0.89447,0.73157,0.54985,0.62559,0.15085,2.86621,1.64498,0.87304,0.001604,0.001604,0.001604
12,71.0657,2.9717,1.62108,0.88296,0.67413,0.70852,0.69928,0.18167,2.74783,1.2102,0.87207,0.0015644,0.0015644,0.0015644
13,77.1722,3.01814,1.41876,0.89484,0.6962,0.72831,0.71594,0.18801,2.68132,1.13107,0.87078,0.0015248,0.0015248,0.0015248
14,83.1206,2.94623,1.58641,0.89034,0.6962,0.72831,0.71594,0.18801,2.68132,1.13107,0.87078,0.0014852,0.0014852,0.0014852
15,88.9664,2.96846,1.4496,0.86614,0.81492,0.80556,0.82218,0.23332,2.50965,1.20761,0.84103,0.0014456,0.0014456,0.0014456
16,95.2886,2.76746,1.32014,0.95402,0.83758,0.75989,0.8322,0.27325,2.40811,1.20227,0.83365,0.001406,0.001406,0.001406
17,100.701,2.7668,1.40642,0.86717,0.84073,0.82152,0.87377,0.29093,2.40189,0.9723,0.83883,0.0013664,0.0013664,0.0013664
18,107.698,2.50556,1.29314,0.81587,0.87723,0.83866,0.89538,0.32729,2.25173,0.92135,0.83497,0.0013268,0.0013268,0.0013268
19,113.933,2.60211,1.26378,0.83272,0.87723,0.83866,0.89538,0.32729,2.25173,0.92135,0.83497,0.0012872,0.0012872,0.0012872
20,120.224,2.49601,1.19431,0.82475,0.84815,0.79276,0.8625,0.3192,2.24104,0.95972,0.83957,0.0012476,0.0012476,0.0012476
21,126.243,2.36664,1.1066,0.82416,0.84261,0.82707,0.88256,0.35374,2.09338,0.98424,0.82677,0.001208,0.001208,0.001208
22,132.658,2.18652,1.10044,0.80348,0.88166,0.86568,0.91857,0.36336,2.0722,0.97746,0.8202,0.0011684,0.0011684,0.0011684
23,139.026,2.41839,1.20597,0.81396,0.88166,0.86568,0.91857,0.36336,2.0722,0.97746,0.8202,0.0011288,0.0011288,0.0011288
24,144.689,2.32754,1.01663,0.8269,0.89713,0.83181,0.91804,0.3789,2.04538,1.03303,0.82111,0.0010892,0.0010892,0.0010892
25,150.802,2.39782,1.08294,0.83507,0.88977,0.86311,0.9163,0.36899,2.0985,0.98874,0.82045,0.0010496,0.0010496,0.0010496
26,156.692,2.45812,1.08788,0.8585,0.87055,0.78046,0.86489,0.32316,2.24424,1.15371,0.82445,0.00101,0.00101,0.00101
27,163.378,2.299,1.03192,0.81316,0.90573,0.84056,0.90831,0.36782,2.06075,1.03013,0.81665,0.0009704,0.0009704,0.0009704
28,169.666,2.31155,1.03737,0.83947,0.90573,0.84056,0.90831,0.36782,2.06075,1.03013,0.81665,0.0009308,0.0009308,0.0009308
29,175.399,2.21371,0.99617,0.83366,0.90766,0.88661,0.93168,0.37316,2.07101,0.94748,0.81837,0.0008912,0.0008912,0.0008912
30,181.263,2.36588,1.0882,0.81504,0.92052,0.8991,0.93861,0.36506,2.11062,0.88089,0.81877,0.0008516,0.0008516,0.0008516
31,187.398,2.17835,1.0894,0.77771,0.91112,0.86207,0.92614,0.35526,2.11086,0.90254,0.82024,0.000812,0.000812,0.000812
32,192.935,2.15096,0.93552,0.80848,0.91112,0.86207,0.92614,0.35526,2.11086,0.90254,0.82024,0.0007724,0.0007724,0.0007724
33,198.638,2.27576,0.98113,0.81446,0.91276,0.84399,0.91204,0.3627,2.05646,0.9422,0.81642,0.0007328,0.0007328,0.0007328
34,204.206,2.21989,0.97732,0.8035,0.92044,0.84969,0.91614,0.37991,1.97727,0.90602,0.81545,0.0006932,0.0006932,0.0006932
35,209.707,2.15289,0.94144,0.82337,0.91693,0.88199,0.9348,0.40574,1.91782,0.84315,0.81274,0.0006536,0.0006536,0.0006536
36,215.714,2.16089,0.99523,0.82832,0.88583,0.87976,0.92798,0.37528,2.04937,0.92181,0.81607,0.000614,0.000614,0.000614
37,221.779,2.09874,0.88361,0.81686,0.88583,0.87976,0.92798,0.37528,2.04937,0.92181,0.81607,0.0005744,0.0005744,0.0005744
38,227.358,2.03895,0.90446,0.77391,0.89456,0.88776,0.92985,0.3819,2.03225,0.90341,0.81558,0.0005348,0.0005348,0.0005348
39,232.953,2.11812,0.89929,0.77587,0.91562,0.87823,0.93852,0.40647,1.93019,0.89853,0.81412,0.0004952,0.0004952,0.0004952
40,238.544,2.09906,0.88817,0.80596,0.92632,0.8707,0.93344,0.41387,1.90717,0.91512,0.81261,0.0004556,0.0004556,0.0004556
41,259.269,2.26655,0.97687,0.82223,0.92632,0.8707,0.93344,0.41387,1.90717,0.91512,0.81261,0.000416,0.000416,0.000416
42,265.261,2.22649,0.88086,0.84291,0.90398,0.85616,0.919,0.40188,1.924,0.86209,0.81147,0.0003764,0.0003764,0.0003764
43,270.609,2.22554,0.89559,0.81599,0.89617,0.88681,0.92756,0.41964,1.85463,0.79272,0.81053,0.0003368,0.0003368,0.0003368
44,276.087,2.10219,0.83015,0.83576,0.91498,0.90501,0.94201,0.4286,1.83382,0.7821,0.81035,0.0002972,0.0002972,0.0002972
45,281.479,2.10516,0.84599,0.82775,0.91384,0.92418,0.94921,0.43495,1.81546,0.76408,0.8129,0.0002576,0.0002576,0.0002576
46,286.74,2.20224,0.90131,0.81157,0.91384,0.92418,0.94921,0.43495,1.81546,0.76408,0.8129,0.000218,0.000218,0.000218
47,292.301,2.1105,0.82632,0.82765,0.91298,0.92694,0.94695,0.4296,1.82673,0.74815,0.81316,0.0001784,0.0001784,0.0001784
48,298.325,2.07795,0.82842,0.82928,0.9047,0.92114,0.94637,0.42767,1.83042,0.76792,0.8132,0.0001388,0.0001388,0.0001388
