epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7185,3.04895,2.80745,0.83973,0,0,0,0,0.62895,0.59736,0.19252,0.000653333,0.000653333,0.000653333
2,17.2287,4.77971,3.83609,1.12513,0,0,0,0,2.64846,2.36112,0.68829,0.00129386,0.00129386,0.00129386
3,23.4638,4.26408,4.84155,0.94059,0.02706,0.03919,0.01406,0.00333,3.77555,24.9599,0.93193,0.00190799,0.00190799,0.00190799
4,29.9104,4.41178,8.95398,0.86388,0.0283,0.10274,0.01665,0.00376,3.93013,3.63073,0.94276,0.0018812,0.0018812,0.0018812
5,36.1417,4.22825,10.1142,0.83469,0.0283,0.10274,0.01665,0.00376,3.93013,3.63073,0.94276,0.0018416,0.0018416,0.0018416
6,42.4582,4.142,8.86312,0.85217,0.04381,0.08067,0.01839,0.00403,3.71101,3.73796,0.89929,0.001802,0.001802,0.001802
7,49.0683,4.22738,7.38166,0.86205,0.05628,0.09056,0.02382,0.00503,3.756,4.70083,0.89472,0.0017624,0.0017624,0.0017624
8,56.2685,4.36593,7.74835,0.89265,0.05142,0.09817,0.02348,0.00523,3.71147,4.59143,0.8901,0.0017228,0.0017228,0.0017228
9,62.6838,4.35133,7.91379,0.88479,0.05142,0.09817,0.02348,0.00523,3.71147,4.59143,0.8901,0.0016832,0.0016832,0.0016832
10,69.579,4.80839,3.67761,0.86119,0,0,0,0,4.64023,5.73364,0.94286,0.0016436,0.0016436,0.0016436
11,76.8841,4.47467,3.06884,0.84522,0.10899,0.04566,0.06315,0.01654,3.99489,4.11583,0.89348,0.001604,0.001604,0.001604
12,83.8684,3.82228,2.50446,0.82665,0.11627,0.25152,0.13289,0.03354,3.26303,2.9109,0.8631,0.0015644,0.0015644,0.0015644
13,90.4279,3.84804,2.44987,0.8438,0.06349,0.34323,0.17622,0.03949,3.19832,2.17217,0.84012,0.0015248,0.0015248,0.0015248
